scenario_id,additional_officers,hotspot_reduction_pct,enforcement_intensity,hotspots_targeted,patrol_visits_added_per_month,effective_reduction_pct,projected_pcis_reduction,projected_hotspot_reduction_count,estimated_repeat_offender_reduction,assumption_notes
S01,2,10.0,0.5,10,40,10.0,1.4,1,5,A1:baseline=4v/hotspot/mo; B1:20v/officer/mo; C1:0.5%/visit@intensity=1; C2:cap=70%; C3:RO_capture=8%/hotspot/visit; D1:PCIS_factor=0.4
S02,5,20.0,0.7,25,100,20.0,3.88,5,23,A1:baseline=4v/hotspot/mo; B1:20v/officer/mo; C1:0.5%/visit@intensity=1; C2:cap=70%; C3:RO_capture=8%/hotspot/visit; D1:PCIS_factor=0.4
S03,10,30.0,0.8,50,200,30.0,6.76,15,69,A1:baseline=4v/hotspot/mo; B1:20v/officer/mo; C1:0.5%/visit@intensity=1; C2:cap=70%; C3:RO_capture=8%/hotspot/visit; D1:PCIS_factor=0.4
S04,15,40.0,1.0,75,300,40.0,11.36,30,138,A1:baseline=4v/hotspot/mo; B1:20v/officer/mo; C1:0.5%/visit@intensity=1; C2:cap=70%; C3:RO_capture=8%/hotspot/visit; D1:PCIS_factor=0.4
S05,20,50.0,1.0,100,400,50.0,14.08,50,230,A1:baseline=4v/hotspot/mo; B1:20v/officer/mo; C1:0.5%/visit@intensity=1; C2:cap=70%; C3:RO_capture=8%/hotspot/visit; D1:PCIS_factor=0.4
S06,3,15.0,0.6,15,60,15.0,2.53,2,10,A1:baseline=4v/hotspot/mo; B1:20v/officer/mo; C1:0.5%/visit@intensity=1; C2:cap=70%; C3:RO_capture=8%/hotspot/visit; D1:PCIS_factor=0.4
S07,7,25.0,0.8,35,140,25.0,5.67,9,40,A1:baseline=4v/hotspot/mo; B1:20v/officer/mo; C1:0.5%/visit@intensity=1; C2:cap=70%; C3:RO_capture=8%/hotspot/visit; D1:PCIS_factor=0.4
S08,10,20.0,0.5,50,200,20.0,2.82,10,46,A1:baseline=4v/hotspot/mo; B1:20v/officer/mo; C1:0.5%/visit@intensity=1; C2:cap=70%; C3:RO_capture=8%/hotspot/visit; D1:PCIS_factor=0.4
