hotspot_id,hotspot_name,police_station,latitude,longitude,pcis_score,drift_score,severity_norm,repeat_offender_density_norm,priority_score,priority_band,rank_city,rank_station
U-3f41b525,Unknown Hotspot U-0244,Mahadevapura,12.9867021,77.6901162,66.54,0.0,31.1947,3.4632,33.3744,High,302,8
N-625c70c2,BTP138 - Sarjapur Road Check Post,Madiwala,12.9266432,77.6166981,58.25,0.0,47.7408,3.4632,33.3676,High,303,4
U-b926ccb3,Unknown Hotspot U-0242,Electronic City,12.8356364,77.679175,53.17,0.0,46.0846,18.7013,33.2901,High,304,7
U-0e56767a,Unknown Hotspot U-0110,Chamarajpet,12.9688346,77.567966,59.75,0.0,40.7943,7.7922,33.2277,High,305,9
N-81e5ab2e,BTP100 - Richmond Circle,Ashok Nagar,12.9627558,77.5983063,50.81,0.0,60.894,4.4527,33.1707,High,306,5
U-8370db61,Unknown Hotspot U-0291,Adugodi,12.9395067,77.6255715,60.07,0.0,45.0555,0.8202,33.1621,High,307,8
N-baac87e5,BTP142 - Lower Agram Road Junction,Ashok Nagar,12.9618241,77.6154959,67.74,0.0,26.8371,4.4527,33.1313,High,308,6
U-b34f191b,Unknown Hotspot U-0190,Kodigehalli,13.0366658,77.5747562,47.19,0.0,52.7577,24.6753,33.1288,High,309,8
U-d87d356f,Unknown Hotspot U-0269,Mahadevapura,12.977901,77.7129209,65.91,0.0,30.9374,3.4632,33.071,High,310,9
N-428a64fd,BTP155 - Katriguppe Junction,Banashankari,12.9266994,77.5507429,52.64,0.0,58.9645,1.1988,33.0287,High,311,2
U-b7d4e8a4,Unknown Hotspot U-0280,Rajajinagar,13.0106276,77.5359806,59.79,0.0,28.22,23.1079,33.0262,High,312,21
U-3eb47958,Unknown Hotspot U-0168,Sheshadripuram,12.9980316,77.5815248,49.27,0.0,58.7715,10.3896,33.0207,High,313,4
U-32926ee3,Unknown Hotspot U-0275,Mico Layout,12.9135991,77.6053213,49.12,0.0,64.8336,2.0779,32.9264,High,314,8
U-082f8234,Unknown Hotspot U-0046,Thalagattapura,12.8885892,77.5626791,45.73,0.0,73.1307,0.0,32.9181,High,315,1
U-24d36762,Unknown Hotspot U-0208,HSR Layout,12.8943786,77.657225,52.97,0.0,55.3626,4.329,32.9099,High,316,5
N-af9b6d1e,BTP053 - Three Let Junction,High ground,12.9839718,77.5817777,51.99,0.0,35.5202,33.3952,32.9093,High,317,8
U-92662386,Unknown Hotspot U-0288,HAL Old Airport,12.9500199,77.6897486,63.24,0.0,29.024,11.6883,32.854,High,318,10
U-55ace1d0,Unknown Hotspot U-0297,Kodigehalli,13.0676927,77.5803411,62.55,0.0,20.6464,24.6753,32.8506,High,319,9
U-7439b46c,Unknown Hotspot U-0369,Banaswadi,12.9916136,77.6524204,59.81,0.0,38.7361,7.7922,32.8401,High,320,3
U-c019fd97,Unknown Hotspot U-0249,Chikkabanavara,13.0501624,77.4944991,52.2,0.0,59.7041,0.0,32.8208,High,321,2
U-b5b3ce01,Unknown Hotspot U-0100,No Police Station,13.0586889,77.4664061,60.9,0.0,42.2576,0.0,32.8115,High,322,1
U-8e1195ad,Unknown Hotspot U-0016,Banashankari,12.9349846,77.5365009,48.54,0.0,65.8948,1.1988,32.7748,High,323,3
U-4c35f862,Unknown Hotspot U-0183,Ashok Nagar,12.9701686,77.6102037,52.43,0.0,55.652,4.4527,32.7703,High,324,7
U-63b90cf1,Unknown Hotspot U-0323,No Police Station,12.8835077,77.7522697,57.44,0.0,48.8825,0.0,32.7525,High,325,2
N-4bfd5edc,BTP128 - Gorappanapalya Junction,Jayanagara,12.9215213,77.5993308,66.07,0.0,30.1495,1.3552,32.6612,High,326,9
U-0efe2b33,Unknown Hotspot U-0163,Jalahalli,13.0504889,77.5255347,49.81,0.0,63.6276,0.0,32.6495,High,327,2
U-6a2c3097,Unknown Hotspot U-0247,Malleshwaram,13.0068266,77.5681399,56.36,0.0,18.54,42.5974,32.6416,High,328,11
U-cbe3c289,Unknown Hotspot U-0173,Kamakshipalya,12.9891742,77.5078196,52.4,0.0,57.2761,1.4168,32.6277,High,329,4
N-e011da3c,BTP136 - Hosur-Tavarkere Road Junction,Adugodi,12.9370041,77.6101273,61.16,0.0,39.9904,0.8202,32.5851,High,330,9
U-5d0c34b7,Unknown Hotspot U-0146,Basavanagudi,12.9416511,77.5670856,43.03,0.0,74.7869,2.0779,32.4811,High,331,4
N-a94f27e6,BTP092 - Bangalore Builders Junction,Magadi Road,12.9599587,77.554374,66.6,0.0,25.9688,3.8961,32.4182,High,332,12
U-58800513,Unknown Hotspot U-0259,Hennuru,13.0604311,77.6520891,60.24,0.0,41.1481,0.0,32.3256,High,333,5
N-5a4b5af8,BTP143 - ASC Junction,Halasur,12.9694987,77.6197458,60.63,0.0,38.0929,2.5974,32.2602,High,334,6
U-b979dd4f,Unknown Hotspot U-0114,Byatarayanapura,12.9609401,77.5277935,48.1,0.0,62.1643,3.5964,32.2123,High,335,11
N-2e6c4e7b,BTP214 - 5th Main Chamrajpet Junction,Chamarajpet,12.9580301,77.5672278,58.24,0.0,38.4789,7.7922,32.1606,High,336,10
N-1c8299ea,BTP121 - KH Circle,Wilson Garden,12.9518537,77.5903747,55.47,0.0,48.2393,2.1251,32.1546,High,337,8
U-4288e597,Unknown Hotspot U-0187,Whitefield,12.9557599,77.7185076,57.61,0.0,44.6213,0.974,32.1144,High,338,8
U-0a361a49,Unknown Hotspot U-0004,Cubbon Park,12.976115,77.599407,55.06,0.0,42.7721,10.1299,32.0979,High,339,7
U-3f240245,Unknown Hotspot U-0214,Jalahalli,13.0550168,77.5347961,50.99,0.0,58.3052,0.0,32.057,High,340,3
N-b96a81b6,BTP017 - Attiguppe Circle,Byatarayanapura,12.9605883,77.529287,52.2,0.0,53.1597,3.5964,32.0514,High,341,12
U-6f77ffe3,Unknown Hotspot U-0380,Kodigehalli,13.052752,77.5749162,63.14,0.0,15.4526,24.6753,32.0478,High,342,10
U-04ff2203,Unknown Hotspot U-0165,Jalahalli,13.0509516,77.5526774,47.6,0.0,64.8014,0.0,32.0003,High,343,4
U-79451e09,Unknown Hotspot U-0202,HSR Layout,12.9035192,77.6420905,59.63,0.0,37.4819,4.329,31.9977,High,344,6
N-a941a018,BTP036 - Police Thimmaiah Circle (GPO),Cubbon Park,12.9810543,77.5943219,55.91,0.0,40.2637,10.1299,31.9362,High,345,8
U-adf81120,Unknown Hotspot U-0145,K.R. Pura,13.0034633,77.7234964,48.44,0.0,61.698,1.2987,31.9104,High,346,5
U-2f2b0b54,Unknown Hotspot U-0196,Yeshwanthpura,13.0247068,77.5470531,70.63,0.0,18.1701,0.0,31.886,High,347,6
N-55d62f95,BTP218 - Syndicate Bank Junction,Jayanagara,12.9336089,77.5841988,48.95,0.0,60.2669,1.3552,31.8367,High,348,10
N-62d87194,BTP192 - Urvashi Theater,City Market,12.9560628,77.5857276,40.22,0.0,59.1574,25.6684,31.7698,High,349,12
U-548c4d71,Unknown Hotspot U-0088,Kengeri,12.9320183,77.5157002,50.72,0.0,57.2279,0.0,31.7336,High,350,1
U-6bbddca0,Unknown Hotspot U-0385,Yelahanka,13.1214613,77.6145927,62.23,0.0,29.6832,5.994,31.7277,High,351,4
N-4fae87f0,BTP052 - CID Carlton House Junction,Upparpet,12.9786016,77.5834311,39.34,0.0,4.9526,100.0,31.7265,Medium,352,12
U-373c2b94,Unknown Hotspot U-0313,Banaswadi,12.983513,77.679874,64.05,0.0,24.393,7.7922,31.6674,Medium,353,4
U-cdba5587,Unknown Hotspot U-0137,K.R. Pura,13.0194878,77.7087255,54.95,0.0,47.4031,1.2987,31.6554,Medium,354,6
U-f083b2c8,Unknown Hotspot U-0377,K.R. Pura,13.0347326,77.7340818,74.36,0.0,8.458,1.2987,31.6304,Medium,355,7
N-0cfe38c4,"BTP101 - Blood Bank Circle, KH Road",Ashok Nagar,12.9619672,77.5963799,48.07,0.0,58.6429,4.4527,31.6245,Medium,356,8
N-18b66d4c,BTP075 - Police Corner,Halasuru Gate,12.9688457,77.5862827,47.87,0.0,58.5785,4.329,31.5131,Medium,357,10
U-c7fb5150,Unknown Hotspot U-0094,Hulimavu,12.8576554,77.5890331,46.55,0.0,47.4674,22.5108,31.4901,Medium,358,6
N-48d60f8c,BTP037 - KR Circle,Cubbon Park,12.9766125,77.5885171,49.61,0.0,50.5708,10.1299,31.4776,Medium,359,9
N-920c081b,"BTP188 - 27th Cross, 4th Main, Jayanagar",Jayanagara,12.9296815,77.5805691,50.02,0.0,56.3113,1.3552,31.4735,Medium,360,11
N-d5cb668a,BTP034 - LRDE Junction,High ground,12.988379,77.5917135,37.15,0.0,57.9193,33.3952,31.4531,Medium,361,9
U-d88b349b,Unknown Hotspot U-0166,Jalahalli,13.0473107,77.5425154,57.97,0.0,41.1159,0.0,31.4112,Medium,362,5
U-ecf4dc18,Unknown Hotspot U-0134,Yelahanka,13.0990933,77.5770691,50.34,0.0,51.8411,5.994,31.4033,Medium,363,5
U-a6013ef1,Unknown Hotspot U-0205,Jalahalli,13.0688375,77.5300294,54.29,0.0,48.1267,0.0,31.3413,Medium,364,6
